date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:22	11981/11981	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:22%20GMT	https://trafficbot.co/	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/index.html	(from )
20:47:22	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-56e1dffa48c87%22	https://trafficbot.co/robots.txt		(from )
20:47:22	563889/563889	---MCZ	200	added ('OK')	text/css	etag:%2289ab1-5d9cb930eb9de-gzip%22	https://trafficbot.co/css/home.css?id=cbb3c9cea6c312e8b4ed	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/homec4e9.css	(from https://trafficbot.co/)
20:47:22	365/365	---M--	200	added ('OK')	image/png	etag:%2216d-5aa18009ba5ba%22	https://trafficbot.co/images/favicon.png	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/favicon.png	(from https://trafficbot.co/)
20:47:23	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2006%20Jun%202022%2019:47:23%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/MONEY%20MACHINE/www.google.com/recaptcha/api.js	(from https://trafficbot.co/)
20:47:23	179736/179736	---MCZ	200	added ('OK')	application/font-woff	etag:W/%222be18-5d9cb92c87971%22	https://trafficbot.co/css/fonts/font-icons.woff	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/css/fonts/font-icons.woff	(from https://trafficbot.co/)
20:47:23	676/676	---M--	200	added ('OK')	text/html	etag:%222a4-5aa18009ba5ba%22	https://trafficbot.co/images/logo.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/logo.html	(from https://trafficbot.co/)
20:47:24	1176/1176	---M--	200	added ('OK')	text/html	etag:%22498-5aa18009ba5ba%22	https://trafficbot.co/images/logo@2x.webp	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/images/logo@2x.html	(from https://trafficbot.co/)
20:47:24	18983/18983	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:24%20GMT	https://trafficbot.co/product/social-media-engagement	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/product/social-media-engagement.html	(from https://trafficbot.co/)
20:47:24	35999/35999	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2019:47:24%20GMT	https://trafficbot.co/product/website-traffic	C:/My%20Web%20Sites/MONEY%20MACHINE/trafficbot.co/product/website-traffic.html	(from https://trafficbot.co/)
